panel,scenario,country,season,start_hour,metric,value,unit,eact_value,static_value
d,adverse_bias,NOR,Q3,4680,total_energy_increase_pct,0.361998188981,%,1589.78286489,1584.04863751
d,adverse_bias,NOR,Q4,6888,total_energy_increase_pct,0.32853018497,%,1391.04962189,1386.49456872
d,adverse_bias,PRT,Q1,336,total_energy_increase_pct,0.882604898603,%,1449.85461932,1437.17008574
d,adverse_bias,PRT,Q2,2496,total_energy_increase_pct,1.38752834569,%,1681.55573,1658.54297608
d,adverse_bias,PRT,Q3,4680,total_energy_increase_pct,1.00535686252,%,1549.10721047,1533.6881712
d,adverse_bias,PRT,Q4,6888,total_energy_increase_pct,0.345796545861,%,1465.86023487,1460.80880847
d,adverse_bias,SGP,Q1,336,total_energy_increase_pct,0.390433605667,%,1602.35018908,1596.11840644
d,adverse_bias,SGP,Q2,2496,total_energy_increase_pct,0.587175280223,%,1922.4861787,1911.26371065
d,adverse_bias,SGP,Q3,4680,total_energy_increase_pct,0.552813645963,%,1756.4590861,1746.80252338
d,adverse_bias,SGP,Q4,6888,total_energy_increase_pct,0.558336090651,%,1647.19607135,1638.05024565
d,adverse_bias,USA,Q1,336,total_energy_increase_pct,0.289274852666,%,1428.10547895,1423.98624483
d,adverse_bias,USA,Q2,2496,total_energy_increase_pct,0.319028238687,%,1660.03404694,1654.75491149
d,adverse_bias,USA,Q3,4680,total_energy_increase_pct,0.339765725275,%,1572.23599684,1566.91216635
d,adverse_bias,USA,Q4,6888,total_energy_increase_pct,0.328246208022,%,1469.52702966,1464.71914461
